,Region,FSL IEEE,SPM IEEE,AFNI IEEE,FSL MCA1,FSL MCA2,FSL MCA3,SPM MCA1,SPM MCA2,SPM MCA3,AFNI MCA1,AFNI MCA2,AFNI MCA3
33,L_IPS1_ROI,0,0,0,0,0,0,0,0,0,0,0,0
34,R_IPS1_ROI,0,0,0,0,0,0,0,0,0,0,0,0
35,L_FFC_ROI,0,0,0,0,0,0,0,0,0,0,0,0
36,R_FFC_ROI,1,0,0,0,1,1,0,0,0,0,0,0
37,L_V3B_ROI,0,0,0,0,0,0,0,0,0,0,0,1
38,R_V3B_ROI,0,0,1,0,0,0,0,0,0,1,1,1
39,L_LO1_ROI,0,0,0,0,0,0,0,0,0,0,0,0
40,R_LO1_ROI,0,0,1,0,0,0,0,0,0,1,1,0
41,L_LO2_ROI,0,0,0,0,0,0,0,0,0,0,0,0
42,R_LO2_ROI,0,0,0,0,0,0,0,0,0,0,1,1
43,L_PIT_ROI,0,0,0,0,0,0,0,0,0,0,0,0
44,R_PIT_ROI,0,0,0,0,0,0,0,0,0,0,0,0
45,L_MT_ROI,0,0,0,0,0,0,0,0,0,0,0,0
46,R_MT_ROI,0,0,0,0,0,0,0,0,0,0,0,0
47,L_A1_ROI,0,0,0,0,0,0,0,0,0,0,0,0
48,R_A1_ROI,0,0,0,0,0,0,0,0,0,0,0,0
49,L_PSL_ROI,0,1,1,0,0,0,1,1,1,1,1,1
50,R_PSL_ROI,0,0,0,0,0,0,0,0,0,0,1,0
51,L_SFL_ROI,0,1,1,0,0,0,1,1,1,1,1,1
52,R_SFL_ROI,1,0,1,1,1,1,1,1,0,1,1,1
53,L_PCV_ROI,1,1,1,1,1,1,1,1,1,1,1,1
54,R_PCV_ROI,1,1,1,1,1,1,1,1,1,1,1,1
55,L_STV_ROI,0,0,0,0,0,0,0,0,0,0,0,0
56,R_STV_ROI,0,0,0,0,0,0,0,0,0,0,0,0
57,L_7Pm_ROI,1,1,1,1,1,1,1,1,1,1,1,1
58,R_7Pm_ROI,1,1,1,1,1,1,1,1,1,1,1,1
59,L_7m_ROI,1,1,1,1,1,1,1,1,1,1,1,1
60,R_7m_ROI,1,1,1,1,1,1,1,1,1,1,1,1
